spotify_track_id,spotify_title,spotify_artists,spotify_duration_ms,youtube_video_id,youtube_title,youtube_url
2E3yMg5tRBk4g6TQc3OM4K,Howling,Lupus Nocte,184000,O4Lsah7bEJY,Lupus Nocte - Howling,https://www.youtube.com/watch?v=O4Lsah7bEJY
4PMbcarJQ3ct34EFLKm7LN,A Little Theorizing,The Stupendium,305084,zm_dS5oiVRs,A LITTLE THEORIZING | Official Game Theory Song!,https://www.youtube.com/watch?v=zm_dS5oiVRs
44FpdGyXruaIZRTUCgpRmc,Moonlight Sonata (3rd Movement),meganeko,364235,j9-0GHeHV7c,Beethoven - Moonlight Sonata 3rd Movement (meganeko Remix),https://www.youtube.com/watch?v=j9-0GHeHV7c
4jEgIGTiWCziKA6ExSttMX,Till It's Over,Tristam,270545,usXhiWE2Uc0,[Glitch Hop or 110BPM] - Tristam - Till It's Over [Monstercat Release],https://www.youtube.com/watch?v=usXhiWE2Uc0
2ZNcv0Fcvvlhvg00LROL1X,An Enigmatic Encounter Phase 3,RetroSpecter,220391,0M-zpMC4Xhc,Undertale Last Breath Remix - Enigmatic Encounter Phase 3 (Undertale AU),https://www.youtube.com/watch?v=0M-zpMC4Xhc
4SmJGbHa758iMCjg7PZM5l,The Knife Dance,AJ Dispirito,71000,9tMowVO8ESw,The Knife Dance,https://www.youtube.com/watch?v=9tMowVO8ESw
6zJjw0iXY0aMBEUyCG1NsA,"Loser, Baby","Keith David, Blake Roman, Andrew Underberg, Sam Haft",175113,9sVoglgJjRg,"Loser, Baby Sing-Along | Hazbin Hotel | Prime Video",https://www.youtube.com/watch?v=9sVoglgJjRg
4Po97bPnn3ISdEkuJBMt2f,Stayed Gone,"Christian Borle, Amir Talai, Joel Perez, Andrew Underberg, Sam Haft",180475,Ajkaebudwq0,Hazbin Hotel-Stayed Gone High quality music video,https://www.youtube.com/watch?v=Ajkaebudwq0
3aiGshuqYhdBBBhHqRf6jn,Spider Dance,Toby Fox,106434,NH-GAwLAO30,Spider Dance,https://www.youtube.com/watch?v=NH-GAwLAO30
6xqJ0XqDM9dVEW1jbm78wB,Discord,"The Living Tombstone, Eurobeat Brony",193776,xPfMb50dsOk,Discord (Remix) - Eurobeat Brony,https://www.youtube.com/watch?v=xPfMb50dsOk
3L70JGbmYBlYKsXvqSKje9,No Mercy - Overwatch 2 Remix,"The Living Tombstone, Black Gryph0n, Jayn, Dan Bull",160345,y3CSuv3q0zI,"No Mercy [Overwatch 2 Remix] (feat. Black Gryph0n, Jayn & Dan Bull)",https://www.youtube.com/watch?v=y3CSuv3q0zI
1ydmhnyDOWr5y0s7Vvdw5i,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",258431,2zNSgSzhBfM,MACKLEMORE & RYAN LEWIS - CAN'T HOLD US FEAT. RAY DALTON (OFFICIAL MUSIC VIDEO),https://www.youtube.com/watch?v=2zNSgSzhBfM
180MVaidIYWpB1MSYEv5BI,Dumb Ways to Die,Tangerine Kitty,180022,IJNR2EpS0jw,Dumb Ways to Die,https://www.youtube.com/watch?v=IJNR2EpS0jw
4OOA9mtwTevG39jcALusOu,Song That Might Play When You Fight Sans,Toby Fox,62000,47GvY9rOMUs,Song That Might Play When You Fight Sans,https://www.youtube.com/watch?v=47GvY9rOMUs
2hIMzQcZhhmfzElVfbr1xb,It Just Works,The Chalkeaters,279196,YPN0qhSyWy8,Todd Howard Song — It Just Works (BETHESDA the Musical) ■ ft. Kyle Wright,https://www.youtube.com/watch?v=YPN0qhSyWy8
6tMdpUXfT70TD6Eh3XfB1p,My Ordinary Life,The Living Tombstone,230893,9Zj0JOHJR-s,My Ordinary Life-The Living Tombstone,https://www.youtube.com/watch?v=9Zj0JOHJR-s
40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,Eagles,391376,dLl4PZtxia8,Eagles - Hotel California (Official Audio),https://www.youtube.com/watch?v=dLl4PZtxia8
0gYqQKXYJ2LDyx07ie3V5j,Close to Me,Sabrepulse,260024,qKAYIsd5oZk,8D Sabrepulse - Close To Me,https://www.youtube.com/watch?v=qKAYIsd5oZk
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,216880,eVTXPUF4Oz4,In The End [Official HD Music Video] - Linkin Park,https://www.youtube.com/watch?v=eVTXPUF4Oz4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,242373,dvgZkm1xWPE,Coldplay - Viva La Vida (Official Video),https://www.youtube.com/watch?v=dvgZkm1xWPE
1gOVlit7zHwuKv8HVta06I,It's Been So Long,The Living Tombstone,174394,gk-aCL6eyGc,Five Nights at Freddy's 2 Song - The Living Tombstone (FNAF2),https://www.youtube.com/watch?v=gk-aCL6eyGc
7uIyzCZKGk9K2EXnb3BtrR,Mantis Lords,Christopher Larkin,105852,Lp5M2BAXwSo,Hollow Knight OST - Mantis Lords,https://www.youtube.com/watch?v=Lp5M2BAXwSo
36nutPAJFggPeddyVWDFm9,Better Days,LAKEY INSPIRED,207335,RXLzvo6kvVQ,LAKEY INSPIRED - Better Days,https://www.youtube.com/watch?v=RXLzvo6kvVQ
4Jk6clW2UYpdJnwNYygcVd,The Grimm Troupe,Christopher Larkin,138371,qmsjvBivRkU,Grimm (Hollow Knight: The Grimm Troupe),https://www.youtube.com/watch?v=qmsjvBivRkU
